"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite","TestCase1","Add","request","OK","","17-Jul-2024 23_38",
"TestSuite","TestCase1","PropertyTransfer","transfer","OK","Message:Performed transfer [PT1]
","17-Jul-2024 23_38",
"TestSuite","TestCase1","Subtract","request","OK","","17-Jul-2024 23_38",
